[START OF SIMULATION]
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x82
0x00000180:	s8 [r1+0],r3             	MEM[0x00000208]=R3=0x82
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x00000209,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000019,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x4C
0x00000180:	s8 [r1+0],r3             	MEM[0x00000209]=R3=0x4C
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020A,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x0000001A,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x33
0x00000180:	s8 [r1+0],r3             	MEM[0x0000020A]=R3=0x33
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020B,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x0000001B,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x2B
0x00000180:	s8 [r1+0],r3             	MEM[0x0000020B]=R3=0x2B
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020C,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x0000001C,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000040
0x00000178:	beq 5                    	PC=0x00000190
0x00000190:	pop r5,r4,r3,r2,r1       	{R5,R4,R3,R2,R1}=MEM[0x00007FE4]{0x00000007,0x00000000,0x00000000,0x000001C4,0x8888888B}
0x00000194:	ret                      	PC=MEM[0x00007FFC]=0x000001AC
0x000001AC:	call -71                 	PC=0x00000094,MEM[0x00007FFC]=0x000001B0
0x00000094:	push r4,r3,r2            	MEM[0x00007FF8]{0x00000000,0x00000000,0x000001C4}={R4,R3,R2}
0x00000098:	mov r4,496               	R4=0x000001F0
0x0000009C:	divi r4,r4,4             	R4=R4/0x00000004=0x0000007C,SR=0x00000000
0x000000A0:	mov r3,0                 	R3=0x00000000
0x000000A4:	cmp r3,r5                	SR=0x00000011
0x000000A8:	beq 7                    	PC=0x000000AC
0x000000AC:	addi r2,r4,0             	R2=R4+0x00000000=0x0000007C,SR=0x00000000
0x000000B0:	call -14                 	PC=0x0000007C,MEM[0x00007FEC]=0x000000B4
0x0000007C:	push r3,r5               	MEM[0x00007FE8]{0x00000000,0x00000007}={R3,R5}
0x00000080:	l32 r1,[r0+132]          	R1=MEM[0x00000210]=0x8888888B
0x00000084:	l32 r3,[r2+0]            	R3=MEM[0x000001F0]=0x0A070605
0x00000088:	call -17                 	PC=0x00000048,MEM[0x00007FE0]=0x0000008C
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007FDC]{0x00000000,0x00000000,0x00000007,0x0000007C,0x0A070605}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000003,R3=R3/R4=0x0100B3CD,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
