[START OF SIMULATION]
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x01
0x00000194:	s8 [r1+0],r3             	MEM[0x0000020A]=R3=0x01
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020B,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000007,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0B
0x00000194:	s8 [r1+0],r3             	MEM[0x0000020B]=R3=0x0B
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020C,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000008,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x16
0x00000194:	s8 [r1+0],r3             	MEM[0x0000020C]=R3=0x16
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020D,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000009,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x28
0x00000194:	s8 [r1+0],r3             	MEM[0x0000020D]=R3=0x28
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020E,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000A,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0C
0x00000194:	s8 [r1+0],r3             	MEM[0x0000020E]=R3=0x0C
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020F,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000B,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x1F
0x00000194:	s8 [r1+0],r3             	MEM[0x0000020F]=R3=0x1F
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000210,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000C,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x17
0x00000194:	s8 [r1+0],r3             	MEM[0x00000210]=R3=0x17
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000211,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000D,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x1F
0x00000194:	s8 [r1+0],r3             	MEM[0x00000211]=R3=0x1F
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000212,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000E,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0C
0x00000194:	s8 [r1+0],r3             	MEM[0x00000212]=R3=0x0C
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000213,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000F,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0F
0x00000194:	s8 [r1+0],r3             	MEM[0x00000213]=R3=0x0F
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000214,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000010,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x11
0x00000194:	s8 [r1+0],r3             	MEM[0x00000214]=R3=0x11
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000215,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000011,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0C
0x00000194:	s8 [r1+0],r3             	MEM[0x00000215]=R3=0x0C
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000216,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000012,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x67
